{'ticks': 24509, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.2, 2931.2, 2510.9, 2678.9], 'rec_time': 0.6673712730407715}
{'ticks': 24508, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.5, 2959.1, 3036.9, 3015.3], 'rec_time': 0.6673712730407715}
{'ticks': 24519, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.5, 3112.1, 2583.1, 3405.1], 'rec_time': 0.6673712730407715}
{'ticks': 24549, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.0, 2932.1, 2509.9, 2676.5], 'rec_time': 0.6673712730407715}
{'ticks': 24548, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.6, 2959.0, 3036.3, 3010.0], 'rec_time': 0.6673712730407715}
{'ticks': 24559, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.7, 3113.2, 2584.1, 3406.2], 'rec_time': 0.6673712730407715}
{'ticks': 24588, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.8, 2961.8, 3036.9, 3010.2], 'rec_time': 0.6684043407440186}
{'ticks': 24589, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2709.0, 2929.3, 2509.8, 2675.1], 'rec_time': 0.6684043407440186}
{'ticks': 24599, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2761.0, 3112.7, 2584.1, 3404.6], 'rec_time': 0.6684043407440186}
{'ticks': 24628, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.2, 2959.1, 3036.5, 3010.3], 'rec_time': 0.6684043407440186}
{'ticks': 24629, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.4, 2934.6, 2511.1, 2677.2], 'rec_time': 0.6684043407440186}
{'ticks': 24639, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.7, 3112.6, 2582.7, 3405.0], 'rec_time': 0.6684043407440186}
{'ticks': 24669, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.9, 2930.4, 2510.0, 2676.7], 'rec_time': 0.6684043407440186}
{'ticks': 24668, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.6, 2963.7, 3036.9, 3013.1], 'rec_time': 0.6684043407440186}
{'ticks': 24679, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2761.1, 3112.9, 2584.7, 3405.7], 'rec_time': 0.6684043407440186}
{'ticks': 24709, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2708.5, 2931.1, 2511.3, 2678.6], 'rec_time': 0.6684043407440186}
{'ticks': 24708, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.6, 2960.4, 3037.3, 3013.6], 'rec_time': 0.6684043407440186}
{'ticks': 24719, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2761.1, 3112.7, 2583.9, 3405.6], 'rec_time': 0.6684043407440186}
{'ticks': 24748, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.0, 2962.6, 3037.3, 3013.2], 'rec_time': 0.6684043407440186}
{'ticks': 24749, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2709.8, 2928.3, 2510.1, 2674.4], 'rec_time': 0.6684043407440186}
{'ticks': 24759, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3112.5, 2583.8, 3404.8], 'rec_time': 0.6684043407440186}
{'ticks': 24788, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.1, 2961.3, 3037.2, 3014.6], 'rec_time': 0.6684043407440186}
